"Área Geográfica","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","",""
"Crosstab","","","","","","","","",""
"  de Provincia","","","","","","","","",""
"  por P: Población con discapacidad: Ninguna","","","","","","","","",""
"","","","","","","","","",""
"","Provincia","P: Población con discapacidad: Ninguna","","","","","","",""
"","","Sí, tiene alguna discapacidad","No tiene discapacidad","Total","","","","",""
""," Junín, provincia: Chupaca","10.88%","89.12%","100.00%","","","","",""
""," Junín, provincia: Concepción","11.15%","88.85%","100.00%","","","","",""
""," Junín, provincia: Huancayo","10.86%","89.14%","100.00%","","","","",""
""," Junín, provincia: Jauja","13.18%","86.82%","100.00%","","","","",""
""," Junín, provincia: Junín","6.29%","93.71%","100.00%","","","","",""
""," Junín, provincia: Satipo","6.87%","93.13%","100.00%","","","","",""
""," Junín, provincia: Tarma","12.04%","87.96%","100.00%","","","","",""
""," Junín, provincia: Yauli","9.87%","90.13%","100.00%","","","","",""
""," La Lbertad, provincia: Ascope","11.21%","88.79%","100.00%","","","","",""
""," La Lbertad, provincia: Bolívar","7.82%","92.18%","100.00%","","","","",""
""," La Lbertad, provincia: Chepén","11.49%","88.51%","100.00%","","","","",""
""," La Lbertad, provincia: Gran Chimú","6.56%","93.44%","100.00%","","","","",""
""," La Lbertad, provincia: Julcán","6.75%","93.25%","100.00%","","","","",""
""," La Lbertad, provincia: Otuzco","5.60%","94.40%","100.00%","","","","",""
""," La Lbertad, provincia: Pacasmayo","9.71%","90.29%","100.00%","","","","",""
""," La Lbertad, provincia: Pataz","7.89%","92.11%","100.00%","","","","",""
""," La Lbertad, provincia: Sánchez Carrión","5.73%","94.27%","100.00%","","","","",""
""," La Lbertad, provincia: Santiago de Chuco","7.45%","92.55%","100.00%","","","","",""
""," La Lbertad, provincia: Trujillo","9.70%","90.30%","100.00%","","","","",""
""," La Lbertad, provincia: Virú","7.24%","92.76%","100.00%","","","","",""
""," Lambayeque, provincia: Chiclayo","10.86%","89.14%","100.00%","","","","",""
""," Lambayeque, provincia: Ferreñafe","10.59%","89.41%","100.00%","","","","",""
""," Lambayeque, provincia: Lambayeque","7.76%","92.24%","100.00%","","","","",""
""," Lima, provincia: Barranca","11.32%","88.68%","100.00%","","","","",""
""," Lima, provincia: Cajatambo","14.93%","85.07%","100.00%","","","","",""
""," Lima, provincia: Cañete","10.71%","89.29%","100.00%","","","","",""
""," Lima, provincia: Canta","10.55%","89.45%","100.00%","","","","",""
""," Lima, provincia: Huaral","10.85%","89.15%","100.00%","","","","",""
""," Lima, provincia: Huarochirí","11.77%","88.23%","100.00%","","","","",""
""," Lima, provincia: Huaura","11.50%","88.50%","100.00%","","","","",""
""," Lima, provincia: Lima","11.08%","88.92%","100.00%","","","","",""
""," Lima, provincia: Oyón","10.03%","89.97%","100.00%","","","","",""
""," Lima, provincia: Yauyos","12.63%","87.37%","100.00%","","","","",""
""," Loreto, provincia: Alto Amazonas","7.77%","92.23%","100.00%","","","","",""
""," Loreto, provincia: Datem del Marañón","6.04%","93.96%","100.00%","","","","",""
""," Loreto, provincia: Loreto","6.53%","93.47%","100.00%","","","","",""
""," Loreto, provincia: Mariscal Ramón Castilla","6.01%","93.99%","100.00%","","","","",""
""," Loreto, provincia: Maynas","8.68%","91.32%","100.00%","","","","",""
""," Loreto, provincia: Putumayo","6.08%","93.92%","100.00%","","","","",""
""," Loreto, provincia: Requena","7.79%","92.21%","100.00%","","","","",""
""," Loreto, provincia: Ucayali","7.71%","92.29%","100.00%","","","","",""
""," Madre de Dios prov. de Manu","8.40%","91.60%","100.00%","","","","",""
""," Madre de Dios prov. de Tahuamanu","7.82%","92.18%","100.00%","","","","",""
""," Madre de Dios prov. de Tambopata","8.81%","91.19%","100.00%","","","","",""
""," Moquegua, provincia: General Sánchez Cerro","14.67%","85.33%","100.00%","","","","",""
""," Moquegua, provincia: Ilo","11.85%","88.15%","100.00%","","","","",""
""," Moquegua, provincia: Mariscal Nieto","10.95%","89.05%","100.00%","","","","",""
""," Pasco, provincia: Daniel Alcides Carrión","11.06%","88.94%","100.00%","","","","",""
""," Pasco, provincia: Oxapampa","8.81%","91.19%","100.00%","","","","",""
""," Pasco, provincia: Pasco","10.05%","89.95%","100.00%","","","","",""
""," Piura, provincia: Ayabaca","7.10%","92.90%","100.00%","","","","",""
""," Piura, provincia: Huancabamba","8.09%","91.91%","100.00%","","","","",""
""," Piura, provincia: Morropón","10.43%","89.57%","100.00%","","","","",""
""," Piura, provincia: Paita","9.12%","90.88%","100.00%","","","","",""
""," Piura, provincia: Piura","8.86%","91.14%","100.00%","","","","",""
""," Piura, provincia: Sechura","8.27%","91.73%","100.00%","","","","",""
""," Piura, provincia: Sullana","9.97%","90.03%","100.00%","","","","",""
""," Piura, provincia: Talara","9.65%","90.35%","100.00%","","","","",""
